opencpnName,category,matchKind,esriName,opencpnColorRefs,opencpnDayColors,opencpnBitmap,matchReason
"SOUNDG36","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1258,415,6x10@19,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG37","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1274,415,6x10@19,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG38","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1290,415,6x10@19,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG39","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1306,415,6x10@19,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG40","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1322,415,6x10@-9,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG41","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1338,415,4x10@-9,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG42","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1352,415,6x10@-9,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG43","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1368,415,6x10@-9,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG44","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1384,415,6x10@-9,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG45","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1400,415,6x10@-9,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG46","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1416,415,6x10@-9,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG47","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1432,415,6x10@-9,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG48","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1448,415,6x10@-9,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG49","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1464,415,6x10@-9,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG50","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:10,454,6x10@-2,0","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG51","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:26,454,4x10@-2,0","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG52","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:40,454,6x10@-2,0","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG53","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:56,454,6x10@-2,0","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG54","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:72,454,6x10@-2,0","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG55","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:88,454,6x10@-2,0","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG56","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:104,454,6x10@-2,0","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG57","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:120,454,6x10@-2,0","no exact/direct/semantic ESRI match; generic category fallback disabled"
